127.0.0.1 - - [31/Oct/2022:09:07:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:07:37 +0900] "GET /JqueryApp01/JQTest01.html HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:07:37 +0900] "GET /JqueryApp01/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:07:37 +0900] "GET /JqueryApp01/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:07:37 +0900] "GET /JqueryApp01/images/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:07:37 +0900] "GET /JqueryApp01/images/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:07:37 +0900] "GET /JqueryApp01/images/camera.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:07:37 +0900] "GET /JqueryApp01/images/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:07:37 +0900] "GET /JqueryApp01/images/id_card.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:07:37 +0900] "GET /JqueryApp01/images/ipod.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:07:37 +0900] "GET /JqueryApp01/images/mail.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:07:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:07:58 +0900] "GET /JqueryApp01/JQTest01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:10:12 +0900] "GET /JqueryApp01/JQTest01.html HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:10:19 +0900] "GET /JqueryApp01/JQTest01.html HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:10:22 +0900] "GET /JqueryApp01/JQTest01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:11:01 +0900] "GET /JqueryApp01/JQTest01.html HTTP/1.1" 200 1239
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:12:32 +0900] "GET /JqueryApp01/JQTest01.html HTTP/1.1" 200 1240
